,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
1514,01-Jan-2006,2006,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Soetwater,Diving for crayfish,M,49,Lacerations to little finger,N,UNKNOWN,Said to involve a 1.5 m shark,2006,JAN,DIVING,No,LACERATIONS,UNKONWN
1515,24-Dec-2005,2005,Unprovoked,USA,OREGON,"Tillamook Head, Clatsop County",Surfing,M,30,Lacerations to ankle & calf,N,12h00,White shark,2005,DEC,SURFING,No,LACERATIONS,WHITE
1516,21-Dec-2005,2005,Unprovoked,USA,HAWAII,"Keawakapu Beach, Maui",Swimming,M,29,Left hand bitten,N,11h45,Tiger shark,2005,DEC,SWIMMING,No,BITTEN,TIGER
1517,20-Dec-2005,2005,Boat,ATLANTIC OCEAN,600 NM WEST OF THE CANARY ISLANDS,UNKNOWN,Competing in the Woodvale Atlantic Rowing Race,X,UNKNOWN,"No injury to occupants, shark rammed boat for 15 minutes",N,13h30,3 m shark,2005,DEC,COMPETING,Yes,NO INJURY,UNKONWN
1518,11-Dec-2005,2005,Unprovoked,AUSTRALIA,QUEENSLAND,St. Crispin Reef,Spearfishing,M,44,Right forearm & elbow bitten,N,11h00,Whitetip reef shark,2005,DEC,SPEARFISHING,No,BITTEN,REEF
1519,Reported 06-Dec-2005,2005,Boat,AUSTRALIA,SOUTH AUSTRALIA,"Middle Beach, 40 km north of Adelaide",Fishing,X,UNKNOWN,"No injury to occupants, hydrofoil of outboard motor bitten ",N,15h30,4 m white shark,2005,DEC,FISHING,Yes,NO INJURY,WHITE
1520,Reported 29-Nov-2005,2005,Unprovoked,USA,FLORIDA,"Cape San Blas, Gulf County",Surfing,M,15,Left foot bitten,N,UNKNOWN,UNKNOWN,2005,NOV,SURFING,No,BITTEN,UNKONWN
1521,27-Nov-2005,2005,Unprovoked,USA,FLORIDA,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,23,Right thumb & palm lacerated,N,13h00,4' shark,2005,NOV,SURFING,No,LACERATIONS,UNKONWN
1522,25-Nov-2005,2005,Boat,AUSTRALIA,VICTORIA,"6 km off Collendina, south of Melbourne",Fishing,X,UNKNOWN,"No injury to occupant, shark bit outboard motor",N,UNKNOWN,3 m white shark,2005,NOV,FISHING,Yes,NO INJURY,WHITE
1523,25-Nov-2005,2005,Unprovoked,AUSTRALIA,VICTORIA,Flinders,Surfing,M,18,"2 lacerations on leg, each 4"" to 5"" long",N,18h00,1.8 m shark,2005,NOV,SURFING,No,LACERATIONS,UNKONWN
1524,25-Nov-2005,2005,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon, East London",Surfing,M,26,"Cut on finger, board bitten",N,11h30,UNKNOWN,2005,NOV,SURFING,No,BITTEN,UNKONWN
1525,24-Nov-2005-,2005,Unprovoked,NEW CALEDONIA,LOYALTY ISLANDS,Maré,Spearfishing,X,UNKNOWN,Arm bitten,N,20h30,UNKNOWN,2005,NOV,SPEARFISHING,No,BITTEN,UNKONWN
1526,21-Nov-2005,2005,Unprovoked,USA,FLORIDA,"Jensen Beach, Martin County",Surfing,M,30,Left foot bitten,N,Afternoon,4' shark,2005,NOV,SURFING,No,BITTEN,UNKONWN
1527,20-Nov-2005,2005,Unprovoked,USA,FLORIDA,"New Smyrna  Beach, Volusia County",Surfing,M,17,Lacerations to right thigh,N,14h30,UNKNOWN,2005,NOV,SURFING,No,LACERATIONS,UNKONWN
1528,Reported  16-Nov-2005,2005,Boat,NEW CALEDONIA,UNKNOWN,UNKNOWN,UNKNOWN,X,UNKNOWN,"No injury to occupants, shark lifted bow of boat 3 times",N,UNKNOWN,4.5 m white shark,2005,NOV,UNKONWN,Yes,NO INJURY,WHITE
1529,15-Nov-2005,2005,Provoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Aston Bay,Fishing for sharks,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,"Raggedtooth shark, 2.5m",2005,NOV,FISHING,Yes,LACERATIONS,RAGGEDTOOTH
1530,12-Nov-2005,2005,Unprovoked,USA,FLORIDA,"New Smyrna  Beach, Volusia County",Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark,2005,NOV,SURFING,No,PUNCTURED,UNKONWN
1531,02-Nov-2005,2005,Unprovoked,USA,CALIFORNIA,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,"No injury, board bitten",N,16h45,UNKNOWN,2005,NOV,SURFING,No,NO INJURY,UNKONWN
1532,02-Nov-2005,2005,Unprovoked,USA,CALIFORNIA,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark,2005,NOV,SURFING,No,NO INJURY,WHITE
1533,29-Oct-2005,2005,Unprovoked,USA,FLORIDA,"Ponce de Leon Inlet, Volusia County",Wading,M,15,Puncture wounds to foot,N,UNKNOWN,2' to 3' shark,2005,OCT,WADING,No,PUNCTURED,UNKONWN
1534,25-Oct-2005,2005,Unprovoked,ST. MAARTIN,SIMPSON BAY,Sunterra Beach,Standing,M,55,Lower right leg lacerated,N,08h00,2' shark,2005,OCT,STANDING,No,LACERATIONS,UNKONWN
1535,22-Oct-2005,2005,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Uilenkraalsmond (near Gansbaai),Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark,2005,OCT,STANDING,No,BITTEN,UNKONWN
1536,21-Oct-2005,2005,Unprovoked,USA,CALIFORNIA,"Klamath River mouth, Del Norte County",Surfing,M,36,No injury,N,11h00,White shark,2005,OCT,SURFING,No,NO INJURY,WHITE
1537,19-Oct-2005,2005,Unprovoked,USA,CALIFORNIA,"Salmon Beach, Sonoma County",Surfing,F,20,Leg bitten,N,10h30,18' white shark,2005,OCT,SURFING,No,BITTEN,WHITE
1538,15-Oct-2005,2005,Provoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,UNKNOWN,2005,OCT,WADING,No,MINOR INJURIES,UNKONWN
1539,13-Oct-2005,2005,Unprovoked,USA,HAWAII,"Honokowai, Maui",Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'",2005,OCT,SURFING,No,NO INJURY,TIGER
1540,11-Oct-2005,2005,Unprovoked,GRAND CAYMAN,EAST WALL,Jack McKenney's Canyon,Scuba diving,F,57,No injury ,N,15h00,Caribbean reef sharks,2005,OCT,DIVING,No,NO INJURY,REEF
1541,06-Oct-2005,2005,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,UNKNOWN,2005,OCT,TREADING,No,LACERATIONS,UNKONWN
1542,03-Oct-2005,2005,Unprovoked,BAHAMAS,ABACO ISLANDS,Grand Cay,Diving,M,35,Lacerations to right side of face,N,UNKNOWN,UNKNOWN,2005,OCT,DIVING,No,LACERATIONS,UNKONWN
1543,01-Oct-2005,2005,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Sunny Cove, Fish Hoek",Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark,2005,OCT,SKIING,No,NO INJURY,WHITE
1544,Reported      27-Sep-2005,2005,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Arakoon's Little Bay,Surfing,M,28,"No injury, knocked off board",N,UNKNOWN,"Tiger shark, 3 m",2005,SEP,SURFING,No,NO INJURY,TIGER
1545,24-Sep-2005,2005,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Kangaroo Island,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark,2005,SEP,SURFING,No,LACERATIONS,WHITE
1546,23-Sep-2005,2005,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Scarborough Beach, Perth",Surfing,M,44, No injury,N,Morning,Bronze whaler shark,2005,SEP,SURFING,No,NO INJURY,WHALER
1548,20-Sep-2005,2005,Unprovoked,USA,SOUTH CAROLINA,"Myrtle Beach, Horry County",Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark,2005,SEP,SURFING,No,INJURED,UNKONWN
1549,11-Sep-2005,2005,Unprovoked,USA,SOUTH CAROLINA,Folly Beach,Surfing,M,18,FATAL,Y,14h00,UNKNOWN,2005,SEP,SURFING,No,FATAL INJURY,UNKONWN
1550,07-Sep-2005,2005,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Park Beach, Coff's Harbour",Standing,M,15,Left foot & ankle lacerated,N,Dusk,UNKNOWN,2005,SEP,STANDING,No,LACERATIONS,UNKONWN
1551,05-Sep-2005,2005,Unprovoked,USA,NORTH CAROLINA,"North Topsail Beach, Onslow County",Wading,F,18,Calf severely lacerated,N,15h20,Bull shark,2005,SEP,WADING,No,LACERATIONS,BULL
1552,04-Sep-2005,2005,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,"Fishery Bay, Eyre Peninsula",Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark,2005,SEP,SURFING,No,LACERATIONS,WHITE
1553,02-Sep-2005,2005,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Standing / Surfing,M,62,Right foot bitten,N,11h10,UNKNOWN,2005,SEP,STANDING,No,BITTEN,UNKONWN
1554,02-Sep-2005,2005,Provoked,THAILAND,UNKNOWN,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,M,21,FATAL PROVOKED INCIDENT,Y,UNKNOWN,"2 m [6.75'] shark, 200-kg shark T",2005,SEP,REMOVING,No,FATAL INJURY,UNKONWN
1555,24-Aug-2005,2005,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Glenelg,Scuba diving,M,23,FATAL,Y,16h10,White shark,2005,AUG,DIVING,No,FATAL INJURY,WHITE
1556,24-Aug-2005,2005,Unprovoked,USA,CALIFORNIA,"Scripps, LaJolla, San Diego County",Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark,2005,AUG,SURFING,No,LACERATIONS,WHITE
1558,21-Aug-2005,2005,Unprovoked,USA,SOUTH CAROLINA,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark,2005,AUG,SWIMMING,No,BITTEN,SANDBAR
1559,19-Aug-2005,2005,Unprovoked,USA,TEXAS,Crystal Beach (east of Galveston),Walking,M,12,Left foot bitten,N,20h00,UNKNOWN,2005,AUG,WALKING,No,BITTEN,UNKONWN
1561,12-Aug-2005,2005,Unprovoked,USA,NORTH CAROLINA,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark,2005,AUG,SURFING,No,LACERATIONS,UNKONWN
1562,6-Aug-2005,2005,Unprovoked,USA,SOUTH CAROLINA,"Isle of Palms, Charleston County",Swimming,M,14,Puncture wounds on left foot ,N,09h45,UNKNOWN,2005,AUG,SWIMMING,No,PUNCTURED,UNKONWN
1564,27-Jul-2005,2005,Unprovoked,USA,FLORIDA,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,UNKNOWN,2005,JUL,WADING,No,LACERATIONS,UNKONWN
1565,23-Jul-2005,2005,Unprovoked,USA,FLORIDA,"Ormond Beach, Volusia County",Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,UNKNOWN,2005,JUL,SURFING,No,MINOR INJURIES,UNKONWN
1568,17-Jul-2005,2005,Provoked,CHINA,SHANGHAI,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,M,24,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,UNKNOWN,3.5 m [11.5']shark,2005,JUL,DIVING,No,OTHERS,UNKONWN
1570,15-Jul-2005,2005,Unprovoked,USA,NORTH CAROLINA,"Holden Beach, Brunswick County",Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark,2005,JUL,SWIMMING,No,LACERATIONS,UNKONWN
1571,13-Jul-2005,2005,Unprovoked,USA,TEXAS,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5'],2005,JUL,HOLDING,No,BITTEN,UNKONWN
1572,1-Jul-2005,2005,Unprovoked,USA,FLORIDA,"Boca Grande, Lee County",Standing,M,19,Ankle bitten,N,11h30,UNKNOWN,2005,JUL,STANDING,No,BITTEN,UNKONWN
1573,27-Jun-2005,2005,Unprovoked,USA,FLORIDA,"Cape San Blas, Gulf County",Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark,2005,JUN,FISHING,Yes,BITTEN,BULL
1574,25-Jun-2005,2005,Unprovoked,USA,FLORIDA,"Destin, Walton County",Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark,2005,JUN,SWIMMING,No,FATAL INJURY,BULL
1575,22-Jun-2005,2005,Unprovoked,VANUATU,MALAMPA PROVINCE,Atchin Island off Malakula,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",2005,JUN,SWIMMING,No,FATAL INJURY,SAME
1576,20-Jun-2005,2005,Unprovoked,MEXICO,BAJA CALIFORNIA,San Luis beach,Surfing,M,UNKNOWN,Left foot bitten,N,07h00,UNKNOWN,2005,JUN,SURFING,No,BITTEN,UNKONWN
1578,16-Jun-2005,2005,Unprovoked,USA,FLORIDA,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound",2005,JUN,SWIMMING,No,BITTEN,UNKONWN
1579,13-Jun-2005,2005,Unprovoked,SOUTH KOREA,SOUTH CH'UNGCH'ONG PROVINCE,Dando/Kaeui Island,Diving,F,38,Knee bitten,N,UNKNOWN,3 m [10'] white shark,2005,JUN,DIVING,No,BITTEN,WHITE
1580,07-Jun-2005,2005,Unprovoked,USA,SOUTH CAROLINA,"Kiawah Island, Charleston County",Boogie boarding,F,11,Foot lacerated,N,11h30 ,UNKNOWN,2005,JUN,BOARDING,No,LACERATIONS,UNKONWN
1582,04-Jun-2005,2005,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Miller's Point,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark,2005,JUN,SPEARFISHING,No,FATAL INJURY,WHITE
1583,02-Jun-2005,2005,Unprovoked,USA,TEXAS,"Mustang Island, Corpus Christi",Wading,M,6,Two 2-inch lacerations on right foot,N,Morning,UNKNOWN,2005,JUN,WADING,No,LACERATIONS,UNKONWN
1584,28-May-2005,2005,Unprovoked,USA,FLORIDA,Daytona Beach Shores,Swimming,M,33,Left foot bitten,N,17h30,"""small shark""",2005,MAY,SWIMMING,No,BITTEN,SMALL
1585,27-May-2005,2005,Unprovoked,USA,FLORIDA,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,UNKNOWN,Right arm & torso bitten,N,18h30,"18"" to 36"" shark",2005,MAY,CROUCHING,No,BITTEN,UNKONWN
1586,25-May-2005,2005,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Kei River Mouth,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark,2005,MAY,SURFING,No,LACERATIONS,RAGGEDTOOTH
1587,15-May-2005,2005,Unprovoked,AUSTRALIA,QUEENSLAND,50 km east of Townsville,Spearfishing,M,UNKNOWN,Severe injury to lower leg,N,UNKNOWN,Blacktip shark,2005,MAY,SPEARFISHING,No,INJURED,BLACKTIP
1588,14-May-2005,2005,Boat,USA,HAWAII,"North Kihei, Maui",Kayaking,X,UNKNOWN,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9'",2005,MAY,KAYAKING,Yes,NO INJURY,TIGER
1589,03-May-2005,2005,Unprovoked,MADAGASCAR,UNKNOWN,UNKNOWN,Fishing,M,UNKNOWN,Thigh bitten,N,UNKNOWN,2.5 m shark,2005,MAY,FISHING,Yes,BITTEN,UNKONWN
1590,02-May-2005,2005,Sea Disaster,USA,SOUTH CAROLINA,Off Sullivans Island,Sea Disaster,M,UNKNOWN,No injury,N,UNKNOWN,UNKNOWN,2005,MAY,UNKONWN,No,NO INJURY,UNKONWN
1591,02-May-2005,2005,Unprovoked,USA,HAWAII,"Noreiga's, Maui",Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']",2005,MAY,SURFING,No,NO INJURY,TIGER
1592,25-Apr-2005,2005,Provoked,AUSTRALIA,NEW SOUTH WALES,Bermagui,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5']",2005,APR,FISHING,Yes,LACERATIONS,MAKO
1593,17-Apr-2005,2005,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Crookhaven,UNKNOWN,X,UNKNOWN,Shark-bitten surfboard found adrift,N,UNKNOWN,UNKNOWN,2005,APR,UNKONWN,No,BITTEN,UNKONWN
1594,16-Apr-2005,2005,Unprovoked,AUSTRALIA,NORTHERN TERRITORY,Bremer Island,Spearfishing,M,20,Minor cuts above his right eye,N,UNKNOWN,2 m [6.75'] copper shark,2005,APR,SPEARFISHING,No,MINOR INJURIES,COPPER
1595,16-Apr-2005,2005,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Bronte Beach,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark,2005,APR,SURFING,No,NO INJURY,WHALER
1596,13-Apr-2005,2005,Unprovoked,USA,FLORIDA,"Crescent Beach, Sarasota County",Wading,F,70,Right lower leg bitten,N,UNKNOWN,1.8 m [6'] blacktip shark,2005,APR,WADING,No,BITTEN,BLACKTIP
1598,07-Apr-2005,2005,Unprovoked,USA,TEXAS,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,Left foot bitten ,N,19h00,UNKNOWN,2005,APR,SURFING,No,BITTEN,UNKONWN
1599,06-Apr-2005,2005,Unprovoked,USA,FLORIDA,"Jacksonville Beach, Duval County",UNKNOWN,F,UNKNOWN,Left calf injured,N,UNKNOWN,small hammerhead shark,2005,APR,UNKONWN,No,INJURED,HAMMERHEAD
1601,28-Mar-2005,2005,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Noordhoek,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark,2005,MAR,SURFING,No,LACERATIONS,UNKONWN
1602,Reported    27-Mar-2005,2005,Unprovoked,AUSTRALIA,NEW SOUTH WALES,UNKNOWN,Surfing,M,UNKNOWN,"No injury, shark rammed surfboard",N,UNKNOWN,UNKNOWN,2005,MAR,SURFING,No,NO INJURY,UNKONWN
1603,25-Mar-2005,2005,Unprovoked,VENEZUELA,UNKNOWN,Punta Caracas,Surfing,M,UNKNOWN,Right leg bitten,N,17h30,UNKNOWN,2005,MAR,SURFING,No,BITTEN,UNKONWN
1604,19-Mar-2005,2005,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark,2005,MAR,SNORKELING,No,FATAL INJURY,WHITE
1605,12-Mar-2005,2005,Provoked,USA,NEW MEXICO,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7']",2005,MAR,DIVING,No,PUNCTURED,SANDTIGER
1607,09-Mar-2005,2005,Provoked,NEW ZEALAND,NORTH ISLAND,"Waiapu River mouth , East Cape",Fishing,M,UNKNOWN,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 4.3 m [14']",2005,MAR,FISHING,Yes,NO INJURY,WHALER
1608,05-Mar-2005,2005,Unprovoked,SOLOMON ISLANDS,SANTA ISABEL PROVINCE,UNKNOWN,Diving,M,UNKNOWN,Thighs bitten,N,UNKNOWN,UNKNOWN,2005,MAR,DIVING,No,BITTEN,UNKONWN
1609,26-Feb-2005,2005,Unprovoked,AUSTRALIA,QUEENSLAND,Brisbane River,Swimming,M,18,Finger bitten,N,UNKNOWN,Bull shark,2005,FEB,SWIMMING,No,BITTEN,BULL
1610,22-Feb-2005,2005,Provoked,USA,FLORIDA,"Long Key, Monroe County",Spearfishing,M,UNKNOWN,Speared shark bit his chest PROVOKED INCIDENT,N,UNKNOWN,"Nurse shark, 3'",2005,FEB,SPEARFISHING,No,OTHERS,NURSE
1611,16-Feb-2005,2005,Unprovoked,USA,HAWAII,"Rocky Point, north shore of O'ahu",Surfing,M,UNKNOWN,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']",2005,FEB,SURFING,No,NO INJURY,TIGER
1612,13-Feb-2005,2005,Unprovoked,USA,FLORIDA,Fort Lauderdale,Spearfishing,M,UNKNOWN,Hand bitten,N,UNKNOWN,1.8 m [6'] Caribbean reef shark,2005,FEB,SPEARFISHING,No,BITTEN,REEF
1613,04-Feb-2005,2005,Unprovoked,BRAZIL,BAHIA,Ilhéus,Surfing,M,12,Right thigh & ankle injured,N,UNKNOWN,UNKNOWN,2005,FEB,SURFING,No,INJURED,UNKONWN
1614,20-Jan-2005,2005,Unprovoked,CUBA,SANTIAGO DE CUBA PROVINCE,Uvero,Swimming,M,19,Left foot severed,N,UNKNOWN,3 m [10'] shark,2005,JAN,SWIMMING,No,LIMB SEVERED,UNKONWN
1615,19-Jan-2005,2005,Provoked,AUSTRALIA,VICTORIA,Port Phillip Bay,Spearfishing,M,UNKNOWN,No injury. Towed by speared shark PROVOKED INCIDENT,N,UNKNOWN,3 m shark,2005,JAN,SPEARFISHING,No,NO INJURY,UNKONWN
1616,14-Jan-2005,2005,Provoked,AUSTRALIA,VICTORIA,Blairgowrie,Attempting to drive shark away from sailing regatta,X,UNKNOWN,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']",2005,JAN,ATTEMPTING,No,NO INJURY,WHALER
1617,08-Jan-2005,2005,Boat,NEW ZEALAND,NORTH ISLAND,Taupiri Bay,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,White shark,2005,JAN,FISHING,Yes,NO INJURY,WHITE
1619,16-Dec-2004,2004,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark,2004,DEC,SCURFING,No,FATAL INJURY,WHITE
1620,11-Dec-2004,2004,Unprovoked,AUSTRALIA,QUEENSLAND,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,2004,DEC,SPEARFISHING,No,FATAL INJURY,BULL
1621,27-Nov-2004,2004,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,2004,NOV,SURFING,No,LACERATIONS,RAGGEDTOOTH
1622,26-Nov-2004,2004,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,UNKNOWN,Raggedtooth shark,2004,NOV,PLAYING,No,LACERATIONS,RAGGEDTOOTH
1623,15-Nov-2004,2004,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,2004,NOV,SWIMMING,No,FATAL INJURY,WHITE
1624,11-Nov-2004,2004,Unprovoked,USA,CALIFORNIA,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,X,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,2004,NOV,SURFING,No,LACERATIONS,WHITE
1625,11-Nov-2004,2004,Unprovoked,VANUATU,MALAMPA PROVINCE,Malakula (Malakula Island),Snorkeling,M,30,Thigh bitten,N,09h00,UNKNOWN,2004,NOV,SNORKELING,No,BITTEN,UNKONWN
1626,Nov-2004,2004,Unprovoked,NEW CALEDONIA,NORTH PROVINCE,Koumac,Diving,X,UNKNOWN,Forearm bitten,N,UNKNOWN,3 m shark,2004,NOV,DIVING,No,BITTEN,UNKONWN
1627,31-Oct-2004,2004,Unprovoked,CUBA,CAMAGUEY PROVINCE,Santa Lucia,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,2004,OCT,DIVING,No,BITTEN,BULL
1629,30-Oct-2004,2004,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,2004,OCT,CHUMMING,No,LACERATIONS,WHITE
1630,21-Oct-2004,2004,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8']",2004,OCT,SURFING,No,LACERATIONS,WHALER
1631,10-Oct-2004,2004,Unprovoked,USA,CALIFORNIA,"Limantour Beach, Point Reyes National Seashore",Surfing,M,UNKNOWN,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,2004,OCT,SURFING,No,BITTEN,WHITE
1632,09-Oct-2004,2004,Unprovoked,USA,HAWAII,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12']",2004,OCT,SPEARFISHING,No,BITTEN,TIGER
1633,09-Oct-2004,2004,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Jeffreys Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",2004,OCT,SURFING,No,PUNCTURED,RAGGEDTOOTH
1634,06-Oct-2004,2004,Unprovoked,REUNION,CONSERVATÓRIA DISTRICT,"P' tit Paris, Saint-Pierre",Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,2004,OCT,BOARDING,No,BITTEN,TIGER
1635,02-Oct-2004,2004,Unprovoked,USA,CALIFORNIA,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,UNKNOWN,2004,OCT,SURFING,No,NO INJURY,UNKONWN
1636,01-Oct-2004,2004,Unprovoked,USA,CALIFORNIA,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,UNKNOWN,2004,OCT,SURFING,No,NO INJURY,UNKONWN
1637,25-Sep-2004,2004,Boat,AUSTRALIA,QUEENSLAND,Batt Reef,Spearfishing/ filming,X,UNKNOWN,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10']",2004,SEP,SPEARFISHING,Yes,NO INJURY,TIGER
1638,20-Sep-2004,2004,Unprovoked,USA,OREGON,Gold  Beach,Surfing,M,26,Leg bitten,N,09h00,White shark,2004,SEP,SURFING,No,BITTEN,WHITE
1640,08-Sep-2004,2004,Unprovoked,BRAZIL,PERNAMBUCO,"Pina, Recife",Swimming,X,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,2004,SEP,SWIMMING,No,FATAL INJURY,UNKONWN
